country,region,Image URL,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Central African Republic,Africa,https://www.countryflags.io/cf/flat/64.png,33.44,33.852,34.264,34.676,35.088,35.5,35.914,36.328,36.742,37.156,37.57,38.088,38.606,39.124,39.641999999999996,40.16,40.908,41.656000000000006,42.403999999999996,43.152,43.9,44.644,45.388000000000005,46.132,46.876000000000005,47.62,48.008,48.396,48.784,49.172,49.56,49.54600000000001,49.532,49.518,49.504,49.49,49.122,48.754,48.386,48.018,47.65,47.111999999999995,46.574,46.036,45.498000000000005,44.96,44.70399999999999,44.448,44.192,43.93600000000001,43.68,44.141999999999996,44.604,45.066,45.528,45.99,46.672,47.354,48.036,48.718,49.4,50.082,50.763999999999996,49.4,50.082,50.763999999999996
Sierra Leone,Africa,https://www.countryflags.io/sl/flat/64.png,28.82,29.03,29.24,29.45,29.66,29.87,30.094,30.318,30.541999999999998,30.766,30.99,31.318,31.646,31.974,32.302,32.63,33.46,34.29,35.12,35.95,36.78,37.364000000000004,37.948,38.532,39.116,39.7,39.93,40.16,40.39,40.62,40.85,40.506,40.162,39.818000000000005,39.474000000000004,39.13,38.496,37.861999999999995,37.228,36.594,35.96,36.106,36.251999999999995,36.398,36.544000000000004,36.69,37.616,38.542,39.468,40.394,41.32,42.232,43.144,44.056000000000004,44.968,45.88,46.742,47.604,48.466,49.328,50.19,51.052,51.913999999999994,50.19,51.052,51.913999999999994
Nigeria,Africa,https://www.countryflags.io/ng/flat/64.png,33.81,34.208,34.606,35.004,35.402,35.8,36.266,36.732,37.198,37.664,38.13,38.498000000000005,38.866,39.234,39.602,39.97,40.382,40.794000000000004,41.206,41.618,42.03,42.482,42.934,43.386,43.838,44.29,44.636,44.982,45.328,45.674,46.02,46.006,45.992,45.978,45.964,45.95,45.934,45.918,45.902,45.886,45.87,45.896,45.922,45.948,45.974,46.0,46.188,46.376000000000005,46.56399999999999,46.751999999999995,46.94,47.501999999999995,48.06399999999999,48.626000000000005,49.188,49.75,50.176,50.602,51.028,51.45399999999999,51.88,52.306000000000004,52.732,51.88,52.306000000000004,52.732
Chad,Africa,https://www.countryflags.io/td/flat/64.png,36.06,36.32,36.58,36.84,37.1,37.36,37.628,37.896,38.164,38.431999999999995,38.7,38.988,39.275999999999996,39.564,39.852,40.14,40.616,41.092,41.568000000000005,42.044,42.52,42.812,43.104,43.396,43.688,43.98,44.26,44.54,44.82,45.1,45.38,45.632,45.88399999999999,46.136,46.388000000000005,46.64,46.74,46.84,46.94,47.04,47.14,47.242,47.343999999999994,47.446000000000005,47.548,47.65,47.65,47.65,47.65,47.65,47.65,47.894,48.138000000000005,48.382,48.626000000000005,48.87,49.43,49.99,50.55,51.11,51.67,52.23,52.79,51.67,52.23,52.79
Lesotho,Africa,https://www.countryflags.io/ls/flat/64.png,42.15,42.736000000000004,43.321999999999996,43.908,44.494,45.08,45.623999999999995,46.168,46.711999999999996,47.256,47.8,47.943999999999996,48.088,48.232,48.376000000000005,48.52,48.776,49.032,49.288000000000004,49.544,49.8,50.288000000000004,50.776,51.263999999999996,51.751999999999995,52.24,52.848,53.456,54.06399999999999,54.672,55.28,55.69,56.1,56.51,56.92,57.33,57.803999999999995,58.278,58.751999999999995,59.226000000000006,59.7,58.308,56.916000000000004,55.523999999999994,54.132,52.74,51.316,49.891999999999996,48.468,47.044,45.62,46.303999999999995,46.988,47.672,48.356,49.04,49.733999999999995,50.428000000000004,51.122,51.816,52.51,53.20399999999999,53.898,52.51,53.20399999999999,53.898
Ivory Coast,Africa,https://www.countryflags.io/ci/flat/64.png,32.14,32.73,33.32,33.91,34.5,35.09,35.8,36.51,37.22,37.93,38.64,39.24,39.84,40.44,41.04,41.64,42.47,43.3,44.13,44.96,45.79,46.48,47.17,47.86,48.55,49.24,49.71,50.18,50.65,51.12,51.59,51.826,52.062,52.298,52.534,52.77,52.504,52.238,51.972,51.706,51.44,50.488,49.536,48.583999999999996,47.632,46.68,47.181999999999995,47.684,48.18600000000001,48.688,49.19,49.692,50.193999999999996,50.696000000000005,51.198,51.7,52.233999999999995,52.768,53.302,53.836000000000006,54.37,54.903999999999996,55.438,54.37,54.903999999999996,55.438
Somalia,Africa,https://www.countryflags.io/so/flat/64.png,33.99,34.39,34.79,35.19,35.59,35.99,36.385999999999996,36.782,37.178000000000004,37.574,37.97,38.374,38.778,39.181999999999995,39.586,39.99,40.374,40.758,41.141999999999996,41.526,41.91,42.284,42.658,43.032,43.406000000000006,43.78,44.12,44.46,44.8,45.14,45.48,45.658,45.836000000000006,46.013999999999996,46.192,46.37,46.088,45.806000000000004,45.523999999999994,45.242,44.96,45.928000000000004,46.896,47.864,48.832,49.8,50.138000000000005,50.476000000000006,50.81399999999999,51.152,51.49,51.828,52.166000000000004,52.504,52.842,53.18,53.516000000000005,53.852,54.188,54.523999999999994,54.86,55.196000000000005,55.532,54.86,55.196000000000005,55.532
South Sudan,Africa,https://www.countryflags.io/ss/flat/64.png,27.92,28.454,28.988000000000003,29.522,30.055999999999997,30.59,31.016,31.441999999999997,31.868000000000002,32.294000000000004,32.72,33.152,33.584,34.016,34.448,34.88,35.244,35.608000000000004,35.972,36.336,36.7,37.096,37.492,37.888000000000005,38.284,38.68,38.834,38.988,39.141999999999996,39.296,39.45,39.922,40.394,40.866,41.338,41.81,42.512,43.214,43.916000000000004,44.618,45.32,45.89,46.46,47.03,47.6,48.17,48.574,48.978,49.382,49.786,50.19,50.611999999999995,51.034,51.456,51.878,52.3,52.852,53.403999999999996,53.956,54.508,55.06,55.611999999999995,56.163999999999994,55.06,55.611999999999995,56.163999999999994
Guinea-Bissau,Africa,https://www.countryflags.io/gw/flat/64.png,35.88,36.141999999999996,36.404,36.666,36.928000000000004,37.19,37.478,37.766,38.054,38.342,38.63,39.024,39.418,39.812,40.205999999999996,40.6,40.976000000000006,41.352,41.728,42.104,42.48,42.882,43.284,43.68600000000001,44.088,44.49,44.912,45.333999999999996,45.756,46.178000000000004,46.6,46.916000000000004,47.232,47.548,47.864,48.18,48.542,48.903999999999996,49.266000000000005,49.628,49.99,50.354,50.718,51.082,51.446000000000005,51.81,51.983999999999995,52.158,52.332,52.506,52.68,52.98,53.28,53.58,53.88,54.18,54.544,54.908,55.272,55.636,56.0,56.364,56.728,56.0,56.364,56.728
Burundi,Africa,https://www.countryflags.io/bi/flat/64.png,39.03,39.328,39.626,39.924,40.222,40.52,40.821999999999996,41.123999999999995,41.426,41.728,42.03,42.33,42.63,42.93,43.23,43.53,43.67,43.81,43.95,44.09,44.23,44.67,45.11,45.55,45.99,46.43,46.75,47.07,47.39,47.71,48.03,48.256,48.482,48.708,48.934,49.16,48.788000000000004,48.416000000000004,48.044,47.672,47.3,48.01,48.72,49.43,50.14,50.85,51.074,51.298,51.522,51.746,51.97,52.31,52.65,52.99,53.33,53.67,54.153999999999996,54.638000000000005,55.122,55.606,56.09,56.574,57.058,56.09,56.574,57.058
France,Europe,https://www.countryflags.io/fr/flat/64.png,67.05,67.48,67.91,68.34,68.77,69.2,69.492,69.78399999999999,70.07600000000001,70.368,70.66,70.794,70.928,71.062,71.196,71.33,71.528,71.726,71.92399999999999,72.122,72.32,72.556,72.792,73.028,73.264,73.5,73.726,73.952,74.178,74.404,74.63,74.892,75.154,75.416,75.678,75.94,76.192,76.444,76.696,76.94800000000001,77.2,77.418,77.63600000000001,77.854,78.072,78.29,78.52,78.75,78.98,79.21,79.44,79.71600000000001,79.992,80.268,80.544,80.82,81.03399999999999,81.248,81.462,81.676,81.89,82.104,82.318,81.89,82.104,82.318
Iceland,Europe,https://www.countryflags.io/is/flat/64.png,72.23,72.428,72.626,72.824,73.02199999999999,73.22,73.27600000000001,73.332,73.388,73.444,73.5,73.53,73.56,73.59,73.62,73.65,73.76,73.87,73.98,74.09,74.2,74.628,75.056,75.484,75.91199999999999,76.34,76.442,76.544,76.646,76.748,76.85,77.002,77.154,77.306,77.458,77.61,77.794,77.97800000000001,78.16199999999999,78.346,78.53,78.646,78.762,78.878,78.994,79.11,79.426,79.742,80.058,80.374,80.69,80.832,80.97399999999999,81.116,81.258,81.4,81.558,81.71600000000001,81.874,82.03200000000001,82.19,82.348,82.506,82.19,82.348,82.506
Australia,Oceania,https://www.countryflags.io/au/flat/64.png,69.37,69.58,69.79,70.0,70.21,70.42,70.51,70.6,70.69,70.78,70.87,70.862,70.854,70.846,70.83800000000001,70.83,71.014,71.19800000000001,71.382,71.566,71.75,72.116,72.482,72.848,73.214,73.58,73.88,74.18,74.48,74.78,75.08,75.3,75.52,75.74,75.96,76.18,76.482,76.78399999999999,77.086,77.388,77.69,77.92,78.15,78.38,78.61,78.84,79.14,79.44,79.74,80.04,80.34,80.568,80.796,81.024,81.252,81.48,81.64399999999999,81.808,81.97200000000001,82.13600000000001,82.3,82.464,82.62799999999999,82.3,82.464,82.62799999999999
Italy,Europe,https://www.countryflags.io/it/flat/64.png,66.52,66.904,67.288,67.672,68.056,68.44,68.688,68.936,69.184,69.432,69.68,69.93,70.18,70.43,70.68,70.93,71.188,71.446,71.704,71.962,72.22,72.486,72.752,73.018,73.28399999999999,73.55,73.814,74.078,74.342,74.60600000000001,74.87,75.172,75.47399999999999,75.77600000000001,76.078,76.38,76.598,76.816,77.03399999999999,77.252,77.47,77.736,78.002,78.268,78.53399999999999,78.8,79.096,79.392,79.688,79.984,80.28,80.52600000000001,80.77199999999999,81.018,81.264,81.51,81.678,81.846,82.014,82.182,82.35,82.51799999999999,82.686,82.35,82.51799999999999,82.686
Singapore,Asia,https://www.countryflags.io/sg/flat/64.png,60.17,60.926,61.681999999999995,62.438,63.193999999999996,63.95,64.44800000000001,64.946,65.444,65.942,66.44,66.592,66.744,66.896,67.048,67.2,67.572,67.944,68.316,68.688,69.06,69.456,69.852,70.248,70.64399999999999,71.04,71.41,71.78,72.15,72.52,72.89,73.30199999999999,73.714,74.126,74.538,74.95,75.354,75.758,76.16199999999999,76.566,76.97,77.11,77.25,77.39,77.53,77.67,77.976,78.282,78.58800000000001,78.89399999999999,79.2,79.60600000000001,80.012,80.418,80.824,81.23,81.452,81.67399999999999,81.896,82.118,82.34,82.56200000000001,82.78399999999999,82.34,82.56200000000001,82.78399999999999
Spain,Europe,https://www.countryflags.io/es/flat/64.png,64.6,65.23,65.86,66.49,67.12,67.75,68.182,68.61399999999999,69.046,69.47800000000001,69.91,70.202,70.494,70.786,71.078,71.37,71.626,71.882,72.138,72.39399999999999,72.65,73.0,73.35,73.7,74.05,74.4,74.74,75.08,75.42,75.76,76.1,76.25,76.4,76.55,76.7,76.85,77.00399999999999,77.158,77.312,77.46600000000001,77.62,77.848,78.07600000000001,78.304,78.532,78.76,78.988,79.21600000000001,79.444,79.672,79.9,80.164,80.428,80.692,80.956,81.22,81.48,81.74,82.0,82.26,82.52,82.78,83.04,82.52,82.78,83.04
Switzerland,Europe,https://www.countryflags.io/ch/flat/64.png,69.34,69.61399999999999,69.888,70.16199999999999,70.436,70.71,70.884,71.058,71.232,71.406,71.58,71.778,71.976,72.17399999999999,72.372,72.57,72.798,73.02600000000001,73.25399999999999,73.482,73.71,74.006,74.30199999999999,74.598,74.89399999999999,75.19,75.37,75.55,75.73,75.91,76.09,76.318,76.546,76.774,77.002,77.23,77.372,77.514,77.656,77.798,77.94,78.19800000000001,78.456,78.714,78.972,79.23,79.484,79.738,79.992,80.24600000000001,80.5,80.758,81.016,81.274,81.532,81.79,81.97,82.15,82.33,82.51,82.69,82.87,83.05,82.69,82.87,83.05
Japan,Asia,https://www.countryflags.io/jp/flat/64.png,62.8,63.522,64.244,64.96600000000001,65.688,66.41,66.96,67.51,68.06,68.61,69.16,69.61,70.06,70.51,70.96,71.41,71.78399999999999,72.158,72.532,72.906,73.28,73.704,74.128,74.55199999999999,74.976,75.4,75.722,76.044,76.366,76.688,77.01,77.314,77.618,77.922,78.226,78.53,78.708,78.88600000000001,79.064,79.242,79.42,79.638,79.85600000000001,80.074,80.292,80.51,80.768,81.02600000000001,81.28399999999999,81.542,81.8,81.97200000000001,82.14399999999999,82.316,82.488,82.66,82.78399999999999,82.90799999999999,83.03200000000001,83.156,83.28,83.404,83.52799999999999,83.28,83.404,83.52799999999999
Macau,Asia,https://www.countryflags.io/mo/flat/64.png,61.0,61.516000000000005,62.032,62.548,63.06399999999999,63.58,64.064,64.548,65.032,65.516,66.0,66.418,66.836,67.25399999999999,67.672,68.09,68.604,69.118,69.632,70.146,70.66,71.14,71.62,72.1,72.58,73.06,73.414,73.768,74.122,74.476,74.83,75.176,75.52199999999999,75.868,76.214,76.56,76.858,77.156,77.454,77.752,78.05,78.396,78.742,79.08800000000001,79.434,79.78,80.02199999999999,80.264,80.506,80.748,80.99,81.204,81.418,81.632,81.846,82.06,82.306,82.552,82.79799999999999,83.044,83.29,83.536,83.78200000000001,83.29,83.536,83.78200000000001
Hong Kong,Asia,https://www.countryflags.io/hk/flat/64.png,63.1,63.65,64.2,64.75,65.3,65.85,66.446,67.042,67.638,68.234,68.83,69.234,69.638,70.042,70.446,70.85,71.176,71.502,71.828,72.154,72.48,72.73,72.98,73.23,73.48,73.73,74.11,74.49,74.87,75.25,75.63,75.898,76.166,76.434,76.702,76.97,77.186,77.402,77.618,77.834,78.05,78.438,78.82600000000001,79.214,79.602,79.99,80.28,80.57,80.86,81.15,81.44,81.638,81.836,82.03399999999999,82.23200000000001,82.43,82.626,82.822,83.01799999999999,83.214,83.41,83.60600000000001,83.802,83.41,83.60600000000001,83.802
