SuperHero,Image,1989,1990,1991,1991.1,1991.2,1992,1992.1,1993,1993.1,1994,1995,1996,1996.1,1997,1998,1999,1999.1,2000,2000.1,2001,2001.1,2002,2002.1,2003,2003.1,2004,2004.1,2005,2005.1,2006,2007,2007.1,2008,2008.1,2009,2009.1,2010,2011,2011.1,2012,2012.1,2013,2013.1,2013.2,2014,2014.1,2015,2015.1,2015.2,2015.3,2016,2016.1,2016.2,2017,2017.1,2018,2018.1,2019,2019.1
Batman,https://www.freepnglogos.com/uploads/batman-logo-wallpaper-4.png,27.85,27.56,28.21,28.67,,28.05,25.1,23.37,23.7,24.2,24.89,22.5,23.45,21.27,19.62,19.1,19.41,20.29,20.78,21.06,21.79,22.0,22.77,24.77,26.97,28.23,30.0,32.71,23.13,33.76,34.51,35.24,34.48,33.52,32.46,30.02,36.75,25.56,22.93,21.76,,20.56,,,20.08,22.14,36.02,,27.6,,27.62,27.03,,25.25,24.37,23.17,22.87,22.23,22.04
Captain America,https://img.pngio.com/captain-americas-shield-wikipedia-captain-america-shield-logo-2000_2000.png,3.13,3.08,2.99,2.98,,2.97,2.96,2.94,2.93,2.92,2.88,2.84,2.79,2.73,2.69,2.66,2.63,,,2.55,2.51,2.5,,2.65,2.72,2.76,2.81,2.94,2.98,3.08,3.22,3.36,3.34,3.68,3.75,3.93,5.93,6.95,6.56,6.17,5.37,5.75,5.5,5.23,5.05,5.18,5.51,,6.7,,6.81,6.52,6.16,6.38,6.85,7.42,7.57,7.88,8.25
Catwoman,http://heromorph.com/heromorph2/uploads/photos4/25749.png,,,2.1,2.61,3.39,4.5,4.34,4.16,4.08,3.97,3.54,3.09,2.82,2.62,2.39,2.23,2.17,1.9,,,,,,,2.71,3.28,2.81,2.0,2.7,2.55,2.3,2.1,1.9,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
Darodevil,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Daredevil_Logo.svg/671px-Daredevil_Logo.svg.png,,,,,,,,,,,,,,,,,,,,,,,2.28,2.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Deadpool,https://i.pinimg.com/originals/5f/2e/8b/5f2e8bb9837ac966fe4346387082d346.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.04,4.21,7.0,5.37,7.62,7.03,6.32,6.75,7.69,7.17,6.87,6.23,4.96
Hulk,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Green_Fist.svg/1200px-Green_Fist.svg.png,4.35,4.46,4.57,4.63,,4.66,4.74,4.82,4.85,4.9,5.04,5.11,5.22,5.32,5.42,5.49,5.6,5.82,,6.06,6.33,7.0,8.15,9.23,7.03,5.94,5.5,4.47,4.17,4.32,4.88,6.73,8.93,8.65,8.49,8.05,7.68,7.51,7.17,6.88,,6.56,,6.17,6.04,5.82,5.5,,5.1,5.26,4.97,4.92,4.0,4.77,4.69,4.6,4.57,4.52,4.38
Iron Man,https://www.trzcacak.rs/myfile/full/41-413935_acting-drawing-iron-man-iron-man-logo-png.png,2.6,2.68,2.77,2.81,,2.84,2.89,2.96,2.99,3.02,3.17,3.31,3.52,3.71,3.96,4.15,4.34,4.6,,,4.79,4.91,,5.13,5.23,5.29,5.4,5.56,5.72,5.83,5.97,9.03,12.85,12.28,12.03,14.12,14.36,14.02,13.34,14.21,,17.56,,,17.08,15.93,13.98,,12.4,,11.81,12.0,,10.63,10.15,9.58,9.43,9.12,8.32
Spider-man,http://pluspng.com/img-png/spiderman-logo-png-pin-spider-man-clipart-spiderman-logo-4-300.png,28.85,17.89,18.05,18.17,,18.25,18.41,18.59,18.64,18.78,19.09,19.29,19.57,19.84,20.26,20.6,21.05,21.53,21.86,22.23,25.17,23.0,25.0,28.16,29.45,31.12,32.0,32.47,32.15,32.95,34.65,34.57,33.55,31.87,30.95,27.46,22.79,21.08,25.2,23.52,,33.77,,34.69,25.7,26.29,23.97,,20.8,,20.38,21.0,,21.63,21.15,21.83,22.13,22.77,23.97
Superman,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Superman_S_symbol.svg/1853px-Superman_S_symbol.svg.png,28.85,27.44,26.79,26.33,,25.99,25.35,24.63,24.3,23.9,,22.62,22.25,21.83,21.52,21.29,21.01,20.5,20.21,20.05,19.62,19.5,19.5,18.11,17.47,17.4,16.0,19.73,21.95,22.68,22.12,21.13,19.55,17.87,16.98,15.58,13.72,13.03,11.02,10.0,,11.56,,,11.08,10.29,9.01,,9.8,,10.19,10.58,,11.11,11.25,11.38,11.41,11.48,11.35
The Flash,https://seeklogo.com/images/T/the-flash-logo-8AEF1B0CBF-seeklogo.com.png,1.77,1.8,1.77,1.75,,1.74,1.72,1.7,1.69,1.68,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
The Green Lantem,http://www.romolagarai.org/imgs/full/28/280653_green-lantern-logo-png.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.46,0.0,,,,,,,,,,,,,,,,,,,,
Thor,https://upload.wikimedia.org/wikipedia/en/thumb/3/3c/Chris_Hemsworth_as_Thor.jpg/220px-Chris_Hemsworth_as_Thor.jpg,1.61,1.62,0.0,,,,,,,,1.65,1.66,1.66,1.67,1.67,1.67,,,,1.69,1.7,1.7,0.0,,,,,,,,,0.0,0.0,1.95,1.9,1.9,3.29,3.97,3.34,3.9,,5.63,5.5,4.68,4.15,3.64,,,,,,,,,,,,,
Wolverine,https://i.pinimg.com/originals/33/e1/7e/33e17e5049b933bca103f1325a6a5709.gif,,,,,,,,,,,,,,,,,3.22,5.71,,4.94,4.67,4.0,5.15,6.81,6.26,5.94,5.5,5.53,5.85,5.68,,0.0,4.15,,4.99,4.29,4.64,4.98,3.34,4.3,4.52,4.88,,5.33,5.46,5.39,5.2,,5.28,5.25,5.24,5.15,,4.85,4.66,4.35,4.26,4.07,3.42
Wonder Woman,https://www.stickpng.com/assets/images/58429805a6515b1e0ad75ada.png,2.99,2.95,2.89,2.87,,2.85,2.82,2.78,2.77,2.74,2.71,2.72,2.73,2.75,2.76,2.77,2.79,2.81,,2.83,2.84,2.85,,2.88,2.89,2.9,2.91,2.94,2.95,2.96,2.97,2.99,3.01,3.04,3.05,3.09,3.19,0.0,3.2,3.25,4.57,3.29,,3.45,3.52,3.02,3.77,,3.89,,4.71,5.79,7.11,7.06,6.26,5.79,5.72,5.56,5.31
