COUNTRY,count,image,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
USSR,,,14.44,14.45,14.47,14.48,14.5,14.51,14.53,14.55,14.57,14.59,14.62,14.66,14.7,14.75,14.78,14.81,14.83,14.85,14.87,14.86,14.91,14.93,14.95,14.97,14.99,15.12,15.29,15.51,15.69,15.9,16.08,16.26,16.45,16.67,16.87,17.06,17.29,17.46,17.64,17.85,18.13,18.51,18.9,19.29,19.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,,,13.1,12.66,12.27,11.94,11.23,11.12,10.83,10.58,10.43,10.21,10.04,9.84,9.61,9.38,9.21,9.22,9.4,9.58,9.76,9.96,10.17,10.37,10.56,10.75,10.92,11.12,11.28,11.49,11.98,11.86,12.04,12.33,12.43,12.65,12.86,12.98,12.89,12.83,12.76,12.68,12.6,12.55,12.49,12.44,12.37,12.42,12.48,12.67,12.8,12.91,12.95,12.77,12.6,12.44,12.26,12.18,12.3,12.42,12.54,12.65,12.74,12.77,12.81,12.84,12.87,12.83,12.77,12.79,12.81,12.84,12.86,12.89,12.92,12.95,12.96
Yugoslavia,,,10.53,10.63,10.74,10.8,10.96,10.98,11.26,11.48,11.62,11.82,11.9,11.91,11.93,11.94,11.95,11.95,11.94,11.93,11.93,11.91,11.92,11.93,11.94,11.95,11.97,11.97,11.97,11.98,11.66,11.98,11.98,11.99,11.99,11.99,12.0,12.0,11.98,11.96,11.95,11.93,11.92,11.92,11.92,11.91,11.91,11.92,11.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,0.67,1.1,1.53,1.96,2.39,2.82,3.25,3.68,4.11,4.54,4.97,5.4,5.83,6.26,6.69,7.12,7.55,7.98,8.41,8.84,9.27,9.7,10.13,10.17,10.19,10.23,10.33,10.44,10.54,10.63,10.74,10.82,10.9,10.99,11.07,11.14,11.25,11.33,11.44,11.54,11.65,11.74,11.84,12.0,12.16,12.27,12.42,12.71,12.92,13.4,13.6
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.44,2.63,2.86,3.02,3.08,3.14,3.2,3.26,3.3,3.27,3.25,3.23,3.21,3.19,3.17,3.15,3.13,3.11,3.1,3.08,3.07,,,,,,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.23,4.5,5.04,5.71,5.74,5.8,5.82
France,,,0.43,0.44,0.45,0.46,0.48,0.49,0.51,0.52,0.53,0.55,0.56,0.57,0.58,0.59,0.6,0.77,1.01,1.21,1.42,1.64,1.84,2.05,2.24,2.44,2.63,2.74,2.81,2.87,2.95,3.03,3.12,3.17,3.25,3.33,3.41,3.36,3.28,3.18,3.1,3.02,3.02,3.06,3.1,3.14,3.18,3.37,3.73,3.96,4.29,4.56,4.92,5.33,5.44,6.06,6.45,6.61,6.71,6.81,6.91,7.0,7.18,7.34,7.52,7.68,7.86,7.97,8.07,8.3,8.42,8.51,8.8,8.87,8.95,9.16,9.19
UK,,,0.29,0.31,0.34,0.35,0.39,0.43,0.47,0.52,0.55,0.6,0.64,0.68,0.72,0.75,0.8,0.83,0.86,0.9,0.93,0.97,1.0,1.03,1.07,1.1,1.13,1.17,1.2,1.23,1.26,1.3,1.33,1.36,1.39,1.42,1.46,2.42,1.46,1.45,1.45,1.44,1.5,1.57,1.65,1.73,1.8,1.91,2.07,2.18,2.34,2.47,,,,,,,,,,,,,,4.2,4.32,4.5,4.73,5.22,5.48,5.68,6.3,6.46,6.63,7.11,7.18
West Germany,,,0.05,0.08,0.12,0.14,0.2,0.26,0.32,0.4,0.46,0.53,0.59,0.65,0.7,0.74,0.8,0.87,0.96,1.03,1.11,1.19,1.27,1.35,1.43,1.51,1.58,1.68,1.75,1.81,1.9,1.98,2.07,2.14,2.22,2.31,2.4,1.47,2.41,2.41,2.4,2.4,2.39,2.39,2.38,2.37,2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,,,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,0.07,0.1,0.12,0.14,0.17,0.19,0.21,0.23,0.25,0.27,0.27,0.27,0.27,,,0.39,0.48,0.61,0.73,0.87,1.01,1.15,1.3,1.43,1.56,1.71,1.83,1.96,2.09,2.22,2.38,2.64,2.81,3.05,3.26,3.44,3.63,3.69,3.98,4.17,4.21,4.21,4.2,4.2,4.2,4.18,4.17,4.15,,,,,,,,,6.21,6.63,6.67,6.72
Spain,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,,,0.01,0.01,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,,,0.01,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,0.08,0.1,0.12,0.15,0.18,0.21,0.23,0.27,0.3,0.32,0.35,0.39,0.51,0.6,0.73,0.85,0.99,1.05,1.09,1.13,1.17,1.21,1.35,1.5,1.67,1.84,2.0,2.16,2.41,2.56,2.79,2.98,3.2,3.46,3.53,3.92,4.17,4.27,4.33,4.39,4.45,4.51,4.56,4.6,4.65,4.69,4.74,4.93,5.17,5.72,6.0,6.22,6.9,7.3,7.74,8.94,9.12
Belgium,,,,,,,,0.02,0.08,0.12,0.15,0.2,0.22,0.24,0.26,0.28,0.3,0.36,0.45,0.53,0.61,0.69,0.74,0.79,0.84,0.88,0.93,0.96,0.97,0.98,1.0,1.02,1.04,1.05,1.07,1.09,1.12,1.26,1.44,1.63,1.81,1.96,2.21,2.42,2.65,2.88,3.11,3.26,3.47,3.6,3.79,3.95,3.89,3.78,3.75,3.57,3.46,3.5,3.58,3.66,3.74,3.8,4.03,4.25,4.5,4.72,4.95,5.22,5.51,6.17,6.52,6.78,7.6,7.65,7.7,7.85,7.87
Netherlands,,,,,,,,0.02,0.08,0.13,0.16,0.21,0.23,0.25,0.27,0.29,0.31,0.32,0.34,0.36,0.37,0.39,0.4,0.42,0.43,0.44,0.46,0.51,0.56,0.61,0.67,0.73,0.79,0.83,0.88,0.93,0.99,1.2,1.46,1.74,2.0,2.23,2.53,2.76,3.0,3.26,3.5,3.62,3.75,3.82,3.94,4.03,4.19,4.38,4.44,4.72,4.9,5.03,5.15,5.26,5.38,5.47,5.55,5.61,5.67,5.73,5.79,5.91,6.06,6.39,6.56,6.69,7.1,7.35,7.62,8.37,8.48
Norway,,,,,,,,,,0.03,0.03,0.04,0.04,0.05,0.05,0.06,0.06,0.06,0.07,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,3.63,3.78,3.88,3.97,3.94,3.86,3.84,3.73,3.66,3.75,3.87,3.98,4.11,4.21,4.36,4.48,4.62,4.74,4.87,5.0,5.14,5.44,5.6,5.72,6.1,,,,
Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58,2.92,3.02,3.53,3.87,3.92,3.91,3.9,3.89,3.88,4.26,4.66,5.1,5.49,5.92,6.17,6.41,6.95,7.23,7.43,8.1,8.29,8.5,9.07,9.15
United States,,,0.26,0.27,0.28,0.28,0.3,0.3,0.31,0.32,0.32,0.33,0.33,0.34,0.35,0.36,0.37,0.37,0.38,0.38,0.39,0.4,0.41,0.43,0.45,0.47,0.49,0.51,0.53,0.55,0.57,0.59,0.61,0.62,0.64,0.66,0.69,0.71,0.73,0.75,0.77,0.78,0.81,0.82,0.84,0.86,0.88,0.89,0.89,0.89,0.88,0.88,0.88,0.89,0.89,0.89,0.9,0.9,0.9,0.9,0.9,0.91,0.91,0.91,0.9,0.9,0.9,0.91,0.93,0.97,1.01,1.03,1.08,1.1,1.11,1.12,1.12
Australia,,,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.22,0.3,0.39,0.47,0.54,0.62,0.68,0.75,0.83,0.89,0.96,1.06,1.13,1.22,1.3,1.37,1.43,1.45,1.53,1.59,1.64,1.65,1.66,1.68,1.69,1.76,1.86,1.97,2.07,2.17,2.25,2.29,2.37,2.44,2.47,2.57,2.67,2.77,3.01,3.11
Canada,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.05,0.07,0.09,0.11,0.13,0.14,0.16,0.18,0.19,0.19,0.19,0.19,0.19,0.25,0.31,0.42,0.53,0.65,0.73,0.75,0.77,0.79,0.8,0.83,0.84,0.86,0.87,0.89,0.88,0.76,0.68,0.58,0.49,0.47,0.56,0.59,0.74,0.84,0.99,1.22,1.43,1.68,1.86,1.99,1.98,1.97,1.96,1.95,2.07,2.36,2.87,3.28,3.42,3.77,4.11,4.43,5.16,5.48
